customer_id,first_order_date,acquisition_channel_id,acquisition_month_id,acquisition_channel_code,paid_social_subtype,acquisition_utm_campaign
1,2024-10-16,1,22,direct_mail,,direct_mail_2024_10
2,2024-07-12,1,19,direct_mail,,direct_mail_2024_07
3,2023-01-28,3,1,email,,email_2023_01
4,2023-12-11,1,12,direct_mail,,direct_mail_2023_12
5,2024-01-23,1,13,direct_mail,,direct_mail_2024_01
6,2023-10-24,5,10,direct,,direct_2023_10
7,2024-01-09,1,13,direct_mail,,direct_mail_2024_01
8,2023-03-15,3,3,email,,email_2023_03
9,2024-08-03,5,20,direct,,direct_2024_08
10,2024-04-14,1,16,direct_mail,,direct_mail_2024_04
11,2024-03-14,5,15,direct,,direct_2024_03
12,2023-04-04,4,4,organic,,organic_2023_04
13,2024-09-02,1,21,direct_mail,,direct_mail_2024_09
14,2023-01-12,4,1,organic,,organic_2023_01
15,2023-12-15,1,12,direct_mail,,direct_mail_2023_12
16,2023-09-27,5,9,direct,,direct_2023_09
17,2024-10-16,3,22,email,,email_2024_10
18,2024-06-27,5,18,direct,,direct_2024_06
19,2023-11-11,2,11,paid_social,buyer_file,meta_buyer_file_2023_11
20,2024-06-29,4,18,organic,,organic_2024_06
21,2023-07-25,4,7,organic,,organic_2023_07
22,2024-04-07,1,16,direct_mail,,direct_mail_2024_04
23,2023-03-11,5,3,direct,,direct_2023_03
24,2023-08-08,3,8,email,,email_2023_08
25,2023-02-25,4,2,organic,,organic_2023_02
26,2024-03-08,1,15,direct_mail,,direct_mail_2024_03
27,2024-07-17,1,19,direct_mail,,direct_mail_2024_07
28,2024-02-15,5,14,direct,,direct_2024_02
29,2024-04-10,2,16,paid_social,acquisition,meta_acquisition_2024_04
30,2023-07-14,2,7,paid_social,acquisition,meta_acquisition_2023_07
31,2023-05-03,5,5,direct,,direct_2023_05
32,2023-03-16,1,3,direct_mail,,direct_mail_2023_03
33,2024-10-31,3,22,email,,email_2024_10
34,2023-04-29,5,4,direct,,direct_2023_04
35,2023-10-11,1,10,direct_mail,,direct_mail_2023_10
36,2024-08-19,3,20,email,,email_2024_08
37,2023-02-10,5,2,direct,,direct_2023_02
38,2024-02-21,5,14,direct,,direct_2024_02
39,2023-12-07,4,12,organic,,organic_2023_12
40,2024-04-26,2,16,paid_social,acquisition,meta_acquisition_2024_04
41,2023-03-13,5,3,direct,,direct_2023_03
42,2024-07-03,2,19,paid_social,buyer_file,meta_buyer_file_2024_07
43,2023-02-09,1,2,direct_mail,,direct_mail_2023_02
44,2024-06-07,1,18,direct_mail,,direct_mail_2024_06
45,2024-06-16,5,18,direct,,direct_2024_06
46,2024-01-08,2,13,paid_social,acquisition,meta_acquisition_2024_01
47,2024-01-24,4,13,organic,,organic_2024_01
48,2023-01-01,2,1,paid_social,buyer_file,meta_buyer_file_2023_01
49,2023-08-29,4,8,organic,,organic_2023_08
50,2024-02-14,2,14,paid_social,acquisition,meta_acquisition_2024_02
51,2023-05-05,2,5,paid_social,acquisition,meta_acquisition_2023_05
52,2024-03-29,3,15,email,,email_2024_03
53,2023-06-12,4,6,organic,,organic_2023_06
54,2024-06-17,2,18,paid_social,buyer_file,meta_buyer_file_2024_06
55,2024-03-06,2,15,paid_social,acquisition,meta_acquisition_2024_03
56,2024-05-03,1,17,direct_mail,,direct_mail_2024_05
57,2024-03-05,3,15,email,,email_2024_03
58,2023-10-07,2,10,paid_social,buyer_file,meta_buyer_file_2023_10
59,2023-03-27,3,3,email,,email_2023_03
60,2023-10-12,4,10,organic,,organic_2023_10
61,2024-04-29,4,16,organic,,organic_2024_04
62,2023-06-21,3,6,email,,email_2023_06
63,2023-03-19,3,3,email,,email_2023_03
64,2024-03-06,4,15,organic,,organic_2024_03
65,2023-06-06,2,6,paid_social,acquisition,meta_acquisition_2023_06
66,2024-05-10,2,17,paid_social,acquisition,meta_acquisition_2024_05
67,2023-10-13,5,10,direct,,direct_2023_10
68,2023-01-30,2,1,paid_social,buyer_file,meta_buyer_file_2023_01
69,2024-05-17,2,17,paid_social,buyer_file,meta_buyer_file_2024_05
70,2024-01-13,2,13,paid_social,acquisition,meta_acquisition_2024_01
71,2023-10-05,2,10,paid_social,buyer_file,meta_buyer_file_2023_10
72,2023-07-09,1,7,direct_mail,,direct_mail_2023_07
73,2024-09-03,2,21,paid_social,buyer_file,meta_buyer_file_2024_09
74,2024-03-27,2,15,paid_social,acquisition,meta_acquisition_2024_03
75,2023-09-12,1,9,direct_mail,,direct_mail_2023_09
76,2023-08-05,2,8,paid_social,buyer_file,meta_buyer_file_2023_08
77,2024-10-02,3,22,email,,email_2024_10
78,2023-09-30,4,9,organic,,organic_2023_09
79,2024-08-05,5,20,direct,,direct_2024_08
80,2023-10-06,3,10,email,,email_2023_10
81,2023-10-03,3,10,email,,email_2023_10
82,2023-11-25,4,11,organic,,organic_2023_11
83,2024-06-10,4,18,organic,,organic_2024_06
84,2023-02-22,1,2,direct_mail,,direct_mail_2023_02
85,2023-05-05,1,5,direct_mail,,direct_mail_2023_05
86,2023-04-27,2,4,paid_social,buyer_file,meta_buyer_file_2023_04
87,2023-10-07,2,10,paid_social,acquisition,meta_acquisition_2023_10
88,2024-08-24,3,20,email,,email_2024_08
89,2023-12-07,3,12,email,,email_2023_12
90,2024-10-29,5,22,direct,,direct_2024_10
91,2023-04-13,5,4,direct,,direct_2023_04
92,2024-02-24,5,14,direct,,direct_2024_02
93,2023-03-12,2,3,paid_social,acquisition,meta_acquisition_2023_03
94,2024-10-10,4,22,organic,,organic_2024_10
95,2023-02-27,2,2,paid_social,buyer_file,meta_buyer_file_2023_02
96,2023-06-24,1,6,direct_mail,,direct_mail_2023_06
97,2023-12-20,5,12,direct,,direct_2023_12
98,2023-11-06,1,11,direct_mail,,direct_mail_2023_11
99,2024-08-11,2,20,paid_social,acquisition,meta_acquisition_2024_08
100,2023-02-20,5,2,direct,,direct_2023_02
101,2023-08-24,3,8,email,,email_2023_08
102,2023-05-21,3,5,email,,email_2023_05
103,2023-06-18,2,6,paid_social,acquisition,meta_acquisition_2023_06
104,2023-04-28,2,4,paid_social,buyer_file,meta_buyer_file_2023_04
105,2024-02-11,5,14,direct,,direct_2024_02
106,2024-09-26,5,21,direct,,direct_2024_09
107,2023-11-06,3,11,email,,email_2023_11
108,2023-04-29,1,4,direct_mail,,direct_mail_2023_04
109,2024-07-07,2,19,paid_social,acquisition,meta_acquisition_2024_07
110,2024-02-22,5,14,direct,,direct_2024_02
111,2023-08-30,5,8,direct,,direct_2023_08
112,2024-01-03,1,13,direct_mail,,direct_mail_2024_01
113,2023-04-04,4,4,organic,,organic_2023_04
114,2023-09-07,5,9,direct,,direct_2023_09
115,2024-08-23,1,20,direct_mail,,direct_mail_2024_08
116,2023-01-03,2,1,paid_social,acquisition,meta_acquisition_2023_01
117,2024-08-25,2,20,paid_social,buyer_file,meta_buyer_file_2024_08
118,2024-05-02,2,17,paid_social,buyer_file,meta_buyer_file_2024_05
119,2024-06-17,2,18,paid_social,acquisition,meta_acquisition_2024_06
120,2023-04-21,2,4,paid_social,acquisition,meta_acquisition_2023_04
121,2024-03-16,1,15,direct_mail,,direct_mail_2024_03
122,2023-08-09,2,8,paid_social,acquisition,meta_acquisition_2023_08
123,2023-11-17,2,11,paid_social,acquisition,meta_acquisition_2023_11
124,2023-05-14,3,5,email,,email_2023_05
125,2024-08-14,3,20,email,,email_2024_08
126,2024-07-23,2,19,paid_social,acquisition,meta_acquisition_2024_07
127,2024-09-28,3,21,email,,email_2024_09
128,2023-10-01,1,10,direct_mail,,direct_mail_2023_10
129,2023-05-26,4,5,organic,,organic_2023_05
130,2023-06-09,1,6,direct_mail,,direct_mail_2023_06
131,2024-05-12,3,17,email,,email_2024_05
132,2023-02-16,2,2,paid_social,acquisition,meta_acquisition_2023_02
133,2023-09-19,2,9,paid_social,buyer_file,meta_buyer_file_2023_09
134,2023-08-24,3,8,email,,email_2023_08
135,2023-02-13,2,2,paid_social,acquisition,meta_acquisition_2023_02
136,2024-10-17,2,22,paid_social,buyer_file,meta_buyer_file_2024_10
137,2024-01-06,1,13,direct_mail,,direct_mail_2024_01
138,2024-06-27,3,18,email,,email_2024_06
139,2023-06-01,2,6,paid_social,buyer_file,meta_buyer_file_2023_06
140,2023-07-01,5,7,direct,,direct_2023_07
141,2024-08-01,3,20,email,,email_2024_08
142,2023-11-14,2,11,paid_social,buyer_file,meta_buyer_file_2023_11
143,2023-04-03,3,4,email,,email_2023_04
144,2023-02-12,2,2,paid_social,acquisition,meta_acquisition_2023_02
145,2023-03-28,3,3,email,,email_2023_03
146,2024-01-31,2,13,paid_social,acquisition,meta_acquisition_2024_01
147,2024-08-19,4,20,organic,,organic_2024_08
148,2023-05-13,3,5,email,,email_2023_05
149,2023-05-11,4,5,organic,,organic_2023_05
150,2024-10-23,4,22,organic,,organic_2024_10
151,2023-12-16,5,12,direct,,direct_2023_12
152,2023-02-08,4,2,organic,,organic_2023_02
153,2024-03-24,1,15,direct_mail,,direct_mail_2024_03
154,2024-04-04,2,16,paid_social,buyer_file,meta_buyer_file_2024_04
155,2024-08-07,5,20,direct,,direct_2024_08
156,2023-06-15,4,6,organic,,organic_2023_06
157,2024-01-16,3,13,email,,email_2024_01
158,2024-03-23,1,15,direct_mail,,direct_mail_2024_03
159,2024-02-29,1,14,direct_mail,,direct_mail_2024_02
