spend_date,campaign_type,utm_campaign,spend,platform_reported_purchases
2024-01-01,buyer_file,meta_buyer_file_2024_01,592.57,19
2024-01-01,acquisition,meta_acquisition_2024_01,1329.16,10
2024-01-02,buyer_file,meta_buyer_file_2024_01,763.12,11
2024-01-02,acquisition,meta_acquisition_2024_01,1067.54,8
2024-01-03,buyer_file,meta_buyer_file_2024_01,726.49,33
2024-01-03,acquisition,meta_acquisition_2024_01,1251.9,28
2024-01-04,buyer_file,meta_buyer_file_2024_01,621.9,21
2024-01-04,acquisition,meta_acquisition_2024_01,1057.6,18
2024-01-05,buyer_file,meta_buyer_file_2024_01,677.74,25
2024-01-05,acquisition,meta_acquisition_2024_01,1061.47,21
2024-01-06,buyer_file,meta_buyer_file_2024_01,587.17,29
2024-01-06,acquisition,meta_acquisition_2024_01,1537.41,28
2024-01-07,buyer_file,meta_buyer_file_2024_01,662.62,25
2024-01-07,acquisition,meta_acquisition_2024_01,1339.97,34
2024-01-08,buyer_file,meta_buyer_file_2024_01,840.09,25
2024-01-08,acquisition,meta_acquisition_2024_01,1360.33,12
2024-01-09,buyer_file,meta_buyer_file_2024_01,834.88,10
2024-01-09,acquisition,meta_acquisition_2024_01,1386.1,38
2024-01-10,buyer_file,meta_buyer_file_2024_01,865.87,39
2024-01-10,acquisition,meta_acquisition_2024_01,1126.46,24
2024-01-11,buyer_file,meta_buyer_file_2024_01,966.85,30
2024-01-11,acquisition,meta_acquisition_2024_01,1258.13,32
2024-01-12,buyer_file,meta_buyer_file_2024_01,718.45,12
2024-01-12,acquisition,meta_acquisition_2024_01,1238.68,17
2024-01-13,buyer_file,meta_buyer_file_2024_01,982.93,36
2024-01-13,acquisition,meta_acquisition_2024_01,1029.97,40
2024-01-14,buyer_file,meta_buyer_file_2024_01,780.8,40
2024-01-14,acquisition,meta_acquisition_2024_01,1527.49,28
2024-01-15,buyer_file,meta_buyer_file_2024_01,889.6,8
2024-01-15,acquisition,meta_acquisition_2024_01,1395.84,20
2024-01-16,buyer_file,meta_buyer_file_2024_01,1037.03,35
2024-01-16,acquisition,meta_acquisition_2024_01,1450.25,10
2024-01-17,buyer_file,meta_buyer_file_2024_01,820.19,20
2024-01-17,acquisition,meta_acquisition_2024_01,1455.99,11
2024-01-18,buyer_file,meta_buyer_file_2024_01,830.56,15
2024-01-18,acquisition,meta_acquisition_2024_01,858.38,28
2024-01-19,buyer_file,meta_buyer_file_2024_01,767.59,20
2024-01-19,acquisition,meta_acquisition_2024_01,996.25,14
2024-01-20,buyer_file,meta_buyer_file_2024_01,891.3,35
2024-01-20,acquisition,meta_acquisition_2024_01,993.15,13
2024-01-21,buyer_file,meta_buyer_file_2024_01,660.96,30
2024-01-21,acquisition,meta_acquisition_2024_01,1048.15,7
2024-01-22,buyer_file,meta_buyer_file_2024_01,649.3,40
2024-01-22,acquisition,meta_acquisition_2024_01,1503.52,25
2024-01-23,buyer_file,meta_buyer_file_2024_01,675.24,15
2024-01-23,acquisition,meta_acquisition_2024_01,1427.14,34
2024-01-24,buyer_file,meta_buyer_file_2024_01,740.51,16
2024-01-24,acquisition,meta_acquisition_2024_01,1025.97,33
2024-01-25,buyer_file,meta_buyer_file_2024_01,787.23,20
2024-01-25,acquisition,meta_acquisition_2024_01,1287.8,15
2024-01-26,buyer_file,meta_buyer_file_2024_01,667.44,39
2024-01-26,acquisition,meta_acquisition_2024_01,1464.58,14
2024-01-27,buyer_file,meta_buyer_file_2024_01,582.43,20
2024-01-27,acquisition,meta_acquisition_2024_01,1333.93,6
2024-01-28,buyer_file,meta_buyer_file_2024_01,836.11,21
2024-01-28,acquisition,meta_acquisition_2024_01,1335.89,5
2024-01-29,buyer_file,meta_buyer_file_2024_01,591.32,17
2024-01-29,acquisition,meta_acquisition_2024_01,1004.13,16
2024-01-30,buyer_file,meta_buyer_file_2024_01,807.81,23
2024-01-30,acquisition,meta_acquisition_2024_01,939.58,24
2024-01-31,buyer_file,meta_buyer_file_2024_01,797.43,9
2024-01-31,acquisition,meta_acquisition_2024_01,1275.35,38
2024-02-01,buyer_file,meta_buyer_file_2024_02,631.69,5
2024-02-01,acquisition,meta_acquisition_2024_02,1415.78,35
2024-02-02,buyer_file,meta_buyer_file_2024_02,719.07,25
2024-02-02,acquisition,meta_acquisition_2024_02,1460.65,26
2024-02-03,buyer_file,meta_buyer_file_2024_02,964.52,26
2024-02-03,acquisition,meta_acquisition_2024_02,931.32,29
2024-02-04,buyer_file,meta_buyer_file_2024_02,587.64,33
2024-02-04,acquisition,meta_acquisition_2024_02,1073.0,9
2024-02-05,buyer_file,meta_buyer_file_2024_02,656.83,19
2024-02-05,acquisition,meta_acquisition_2024_02,929.51,5
2024-02-06,buyer_file,meta_buyer_file_2024_02,903.98,30
2024-02-06,acquisition,meta_acquisition_2024_02,1407.79,20
2024-02-07,buyer_file,meta_buyer_file_2024_02,662.45,14
2024-02-07,acquisition,meta_acquisition_2024_02,972.7,32
2024-02-08,buyer_file,meta_buyer_file_2024_02,1036.59,14
2024-02-08,acquisition,meta_acquisition_2024_02,1497.8,36
2024-02-09,buyer_file,meta_buyer_file_2024_02,775.71,34
2024-02-09,acquisition,meta_acquisition_2024_02,997.21,9
2024-02-10,buyer_file,meta_buyer_file_2024_02,758.8,37
2024-02-10,acquisition,meta_acquisition_2024_02,1343.89,7
2024-02-11,buyer_file,meta_buyer_file_2024_02,1018.37,30
2024-02-11,acquisition,meta_acquisition_2024_02,1508.58,35
2024-02-12,buyer_file,meta_buyer_file_2024_02,573.57,33
2024-02-12,acquisition,meta_acquisition_2024_02,842.48,40
2024-02-13,buyer_file,meta_buyer_file_2024_02,733.52,20
2024-02-13,acquisition,meta_acquisition_2024_02,1112.49,7
2024-02-14,buyer_file,meta_buyer_file_2024_02,720.83,25
2024-02-14,acquisition,meta_acquisition_2024_02,962.02,37
2024-02-15,buyer_file,meta_buyer_file_2024_02,942.15,13
2024-02-15,acquisition,meta_acquisition_2024_02,1293.73,10
2024-02-16,buyer_file,meta_buyer_file_2024_02,909.4,7
2024-02-16,acquisition,meta_acquisition_2024_02,1301.03,24
2024-02-17,buyer_file,meta_buyer_file_2024_02,909.4,13
2024-02-17,acquisition,meta_acquisition_2024_02,1486.42,22
2024-02-18,buyer_file,meta_buyer_file_2024_02,568.88,32
2024-02-18,acquisition,meta_acquisition_2024_02,1180.73,28
2024-02-19,buyer_file,meta_buyer_file_2024_02,803.04,32
2024-02-19,acquisition,meta_acquisition_2024_02,1166.48,13
2024-02-20,buyer_file,meta_buyer_file_2024_02,738.2,5
2024-02-20,acquisition,meta_acquisition_2024_02,1446.14,32
2024-02-21,buyer_file,meta_buyer_file_2024_02,958.6,5
2024-02-21,acquisition,meta_acquisition_2024_02,1446.79,20
2024-02-22,buyer_file,meta_buyer_file_2024_02,899.16,17
2024-02-22,acquisition,meta_acquisition_2024_02,1419.49,27
2024-02-23,buyer_file,meta_buyer_file_2024_02,864.46,30
2024-02-23,acquisition,meta_acquisition_2024_02,1475.79,21
2024-02-24,buyer_file,meta_buyer_file_2024_02,1014.01,9
2024-02-24,acquisition,meta_acquisition_2024_02,1043.56,33
2024-02-25,buyer_file,meta_buyer_file_2024_02,688.29,36
2024-02-25,acquisition,meta_acquisition_2024_02,1304.9,18
2024-02-26,buyer_file,meta_buyer_file_2024_02,610.15,18
2024-02-26,acquisition,meta_acquisition_2024_02,1546.28,36
2024-02-27,buyer_file,meta_buyer_file_2024_02,919.31,39
2024-02-27,acquisition,meta_acquisition_2024_02,1349.81,9
2024-02-28,buyer_file,meta_buyer_file_2024_02,683.69,37
2024-02-28,acquisition,meta_acquisition_2024_02,1147.62,25
2024-02-29,buyer_file,meta_buyer_file_2024_02,950.66,5
2024-02-29,acquisition,meta_acquisition_2024_02,1464.08,18
2024-03-01,buyer_file,meta_buyer_file_2024_03,628.6,31
2024-03-01,acquisition,meta_acquisition_2024_03,1398.06,32
2024-03-02,buyer_file,meta_buyer_file_2024_03,702.37,13
2024-03-02,acquisition,meta_acquisition_2024_03,934.89,19
2024-03-03,buyer_file,meta_buyer_file_2024_03,1028.17,21
2024-03-03,acquisition,meta_acquisition_2024_03,1483.1,11
2024-03-04,buyer_file,meta_buyer_file_2024_03,622.77,15
2024-03-04,acquisition,meta_acquisition_2024_03,1357.39,39
2024-03-05,buyer_file,meta_buyer_file_2024_03,946.68,9
2024-03-05,acquisition,meta_acquisition_2024_03,1315.58,11
2024-03-06,buyer_file,meta_buyer_file_2024_03,718.18,23
2024-03-06,acquisition,meta_acquisition_2024_03,1244.92,26
2024-03-07,buyer_file,meta_buyer_file_2024_03,669.43,6
2024-03-07,acquisition,meta_acquisition_2024_03,842.94,9
2024-03-08,buyer_file,meta_buyer_file_2024_03,647.58,33
2024-03-08,acquisition,meta_acquisition_2024_03,1154.59,15
2024-03-09,buyer_file,meta_buyer_file_2024_03,625.99,17
2024-03-09,acquisition,meta_acquisition_2024_03,1427.97,38
2024-03-10,buyer_file,meta_buyer_file_2024_03,897.54,24
2024-03-10,acquisition,meta_acquisition_2024_03,1516.11,24
2024-03-11,buyer_file,meta_buyer_file_2024_03,642.86,15
2024-03-11,acquisition,meta_acquisition_2024_03,1085.53,34
2024-03-12,buyer_file,meta_buyer_file_2024_03,918.33,36
2024-03-12,acquisition,meta_acquisition_2024_03,886.23,37
2024-03-13,buyer_file,meta_buyer_file_2024_03,931.69,38
2024-03-13,acquisition,meta_acquisition_2024_03,941.77,13
2024-03-14,buyer_file,meta_buyer_file_2024_03,658.41,38
2024-03-14,acquisition,meta_acquisition_2024_03,1302.93,35
2024-03-15,buyer_file,meta_buyer_file_2024_03,587.75,39
2024-03-15,acquisition,meta_acquisition_2024_03,1540.22,23
2024-03-16,buyer_file,meta_buyer_file_2024_03,592.35,38
2024-03-16,acquisition,meta_acquisition_2024_03,875.62,9
2024-03-17,buyer_file,meta_buyer_file_2024_03,1033.98,17
2024-03-17,acquisition,meta_acquisition_2024_03,1342.49,21
2024-03-18,buyer_file,meta_buyer_file_2024_03,836.26,28
2024-03-18,acquisition,meta_acquisition_2024_03,1128.59,34
2024-03-19,buyer_file,meta_buyer_file_2024_03,918.84,39
2024-03-19,acquisition,meta_acquisition_2024_03,1540.18,22
2024-03-20,buyer_file,meta_buyer_file_2024_03,747.88,25
2024-03-20,acquisition,meta_acquisition_2024_03,1211.03,33
2024-03-21,buyer_file,meta_buyer_file_2024_03,859.3,29
2024-03-21,acquisition,meta_acquisition_2024_03,978.81,39
2024-03-22,buyer_file,meta_buyer_file_2024_03,675.89,5
2024-03-22,acquisition,meta_acquisition_2024_03,1456.55,33
2024-03-23,buyer_file,meta_buyer_file_2024_03,634.0,30
2024-03-23,acquisition,meta_acquisition_2024_03,1418.87,8
2024-03-24,buyer_file,meta_buyer_file_2024_03,962.92,8
2024-03-24,acquisition,meta_acquisition_2024_03,1253.23,14
2024-03-25,buyer_file,meta_buyer_file_2024_03,760.25,29
2024-03-25,acquisition,meta_acquisition_2024_03,1128.56,5
2024-03-26,buyer_file,meta_buyer_file_2024_03,607.5,25
2024-03-26,acquisition,meta_acquisition_2024_03,1096.56,25
2024-03-27,buyer_file,meta_buyer_file_2024_03,911.58,37
2024-03-27,acquisition,meta_acquisition_2024_03,1132.57,22
2024-03-28,buyer_file,meta_buyer_file_2024_03,718.66,38
2024-03-28,acquisition,meta_acquisition_2024_03,1521.86,25
2024-03-29,buyer_file,meta_buyer_file_2024_03,717.33,27
2024-03-29,acquisition,meta_acquisition_2024_03,1479.7,27
2024-03-30,buyer_file,meta_buyer_file_2024_03,607.94,16
2024-03-30,acquisition,meta_acquisition_2024_03,1023.43,32
2024-03-31,buyer_file,meta_buyer_file_2024_03,691.81,5
2024-03-31,acquisition,meta_acquisition_2024_03,877.66,38
2024-04-01,buyer_file,meta_buyer_file_2024_04,774.28,38
2024-04-01,acquisition,meta_acquisition_2024_04,1406.57,31
2024-04-02,buyer_file,meta_buyer_file_2024_04,948.01,13
2024-04-02,acquisition,meta_acquisition_2024_04,1049.64,8
2024-04-03,buyer_file,meta_buyer_file_2024_04,731.56,31
2024-04-03,acquisition,meta_acquisition_2024_04,1115.48,21
2024-04-04,buyer_file,meta_buyer_file_2024_04,716.05,14
2024-04-04,acquisition,meta_acquisition_2024_04,966.09,21
2024-04-05,buyer_file,meta_buyer_file_2024_04,973.56,21
2024-04-05,acquisition,meta_acquisition_2024_04,889.47,37
2024-04-06,buyer_file,meta_buyer_file_2024_04,842.59,35
2024-04-06,acquisition,meta_acquisition_2024_04,1511.73,5
2024-04-07,buyer_file,meta_buyer_file_2024_04,628.99,17
2024-04-07,acquisition,meta_acquisition_2024_04,985.15,31
2024-04-08,buyer_file,meta_buyer_file_2024_04,997.83,32
2024-04-08,acquisition,meta_acquisition_2024_04,852.23,19
2024-04-09,buyer_file,meta_buyer_file_2024_04,961.52,35
2024-04-09,acquisition,meta_acquisition_2024_04,1464.43,9
2024-04-10,buyer_file,meta_buyer_file_2024_04,777.26,20
2024-04-10,acquisition,meta_acquisition_2024_04,1133.91,7
2024-04-11,buyer_file,meta_buyer_file_2024_04,983.31,24
2024-04-11,acquisition,meta_acquisition_2024_04,1423.12,22
2024-04-12,buyer_file,meta_buyer_file_2024_04,633.86,18
2024-04-12,acquisition,meta_acquisition_2024_04,1209.14,31
2024-04-13,buyer_file,meta_buyer_file_2024_04,589.17,7
2024-04-13,acquisition,meta_acquisition_2024_04,1414.07,26
2024-04-14,buyer_file,meta_buyer_file_2024_04,911.03,39
2024-04-14,acquisition,meta_acquisition_2024_04,1280.25,39
2024-04-15,buyer_file,meta_buyer_file_2024_04,667.2,22
2024-04-15,acquisition,meta_acquisition_2024_04,1377.63,18
2024-04-16,buyer_file,meta_buyer_file_2024_04,689.18,5
2024-04-16,acquisition,meta_acquisition_2024_04,1260.39,32
2024-04-17,buyer_file,meta_buyer_file_2024_04,866.23,35
2024-04-17,acquisition,meta_acquisition_2024_04,1269.39,36
2024-04-18,buyer_file,meta_buyer_file_2024_04,624.77,22
2024-04-18,acquisition,meta_acquisition_2024_04,1082.38,14
2024-04-19,buyer_file,meta_buyer_file_2024_04,826.51,12
2024-04-19,acquisition,meta_acquisition_2024_04,991.02,29
2024-04-20,buyer_file,meta_buyer_file_2024_04,852.51,38
2024-04-20,acquisition,meta_acquisition_2024_04,849.49,25
2024-04-21,buyer_file,meta_buyer_file_2024_04,998.9,34
2024-04-21,acquisition,meta_acquisition_2024_04,987.34,29
2024-04-22,buyer_file,meta_buyer_file_2024_04,920.86,36
2024-04-22,acquisition,meta_acquisition_2024_04,1055.39,37
2024-04-23,buyer_file,meta_buyer_file_2024_04,1027.37,5
2024-04-23,acquisition,meta_acquisition_2024_04,1252.59,36
2024-04-24,buyer_file,meta_buyer_file_2024_04,867.31,19
2024-04-24,acquisition,meta_acquisition_2024_04,1252.59,6
2024-04-25,buyer_file,meta_buyer_file_2024_04,986.37,40
2024-04-25,acquisition,meta_acquisition_2024_04,872.51,32
2024-04-26,buyer_file,meta_buyer_file_2024_04,560.52,21
2024-04-26,acquisition,meta_acquisition_2024_04,1034.59,7
2024-04-27,buyer_file,meta_buyer_file_2024_04,944.69,10
2024-04-27,acquisition,meta_acquisition_2024_04,1094.72,38
2024-04-28,buyer_file,meta_buyer_file_2024_04,848.22,13
2024-04-28,acquisition,meta_acquisition_2024_04,1079.13,22
2024-04-29,buyer_file,meta_buyer_file_2024_04,853.05,6
