order_id,customer_id,order_date,gross_revenue,cogs,is_size_exchange,order_channel_id
1,1,2024-10-16,174.77,70.56,0,1
2,2,2024-07-12,35.65,21.17,1,1
3,3,2023-01-28,170.3,76.86,0,3
4,3,2023-09-22,206.94,84.25,0,3
5,3,2023-06-15,101.13,42.13,0,1
6,4,2023-12-11,111.49,48.89,0,1
7,4,2024-07-14,157.97,86.16,0,4
8,5,2024-01-23,96.31,51.1,0,1
9,5,2024-08-20,50.08,20.97,0,1
10,6,2023-10-24,194.68,86.56,0,5
11,7,2024-01-09,107.17,53.51,0,1
12,8,2023-03-15,74.95,30.56,0,3
13,8,2023-10-07,88.32,38.43,0,5
14,8,2023-10-27,90.39,34.84,0,3
15,8,2023-07-03,98.9,41.13,0,4
16,9,2024-08-03,100.07,44.76,0,5
17,10,2024-04-14,69.44,32.75,0,1
18,11,2024-03-14,114.9,63.15,0,5
19,12,2023-04-04,195.69,79.68,0,4
20,13,2024-09-02,111.78,52.53,0,1
21,14,2023-01-12,65.05,33.02,0,4
22,15,2023-12-15,121.08,65.64,0,1
23,16,2023-09-27,178.34,71.0,0,5
24,17,2024-10-16,79.81,32.52,0,3
25,18,2024-06-27,149.82,59.78,0,5
26,19,2023-11-11,144.29,72.78,0,2
27,20,2024-06-29,67.47,31.94,0,4
28,20,2024-11-14,244.36,124.23,0,3
29,21,2023-07-25,114.82,50.92,0,4
30,22,2024-04-07,84.32,40.47,0,1
31,22,2024-05-08,195.73,76.34,0,1
32,23,2023-03-11,195.44,82.17,0,5
33,24,2023-08-08,171.59,82.01,0,3
34,24,2024-03-31,81.89,32.47,0,4
35,24,2023-12-26,133.19,61.19,0,1
36,25,2023-02-25,217.23,97.42,0,4
37,25,2023-05-29,81.85,37.35,0,3
38,26,2024-03-08,125.96,49.48,0,1
39,27,2024-07-17,159.13,60.87,0,1
40,27,2024-09-27,146.84,61.13,0,4
41,28,2024-02-15,22.14,13.91,1,5
42,29,2024-04-10,172.84,85.13,0,2
43,30,2023-07-14,146.36,74.23,0,2
44,30,2023-12-13,242.27,113.94,0,5
45,30,2023-08-27,57.62,23.72,0,5
46,30,2024-01-12,188.55,79.19,0,2
47,31,2023-05-03,144.69,55.96,0,5
48,31,2023-10-29,155.01,83.53,0,5
49,31,2023-07-24,92.51,41.38,0,1
50,31,2023-11-20,140.59,75.63,0,1
51,32,2023-03-16,153.7,61.02,0,1
52,32,2023-06-21,245.32,129.96,0,3
53,32,2023-11-26,121.3,49.35,0,3
54,32,2023-11-14,194.78,94.27,0,5
55,33,2024-10-31,161.88,87.16,0,3
56,34,2023-04-29,174.92,74.85,0,5
57,34,2023-07-20,151.19,63.91,0,1
58,34,2024-01-16,60.31,27.26,0,5
59,35,2023-10-11,103.37,56.5,0,1
60,35,2024-03-30,163.4,65.2,0,4
61,35,2024-07-08,160.03,83.52,0,3
62,36,2024-08-19,120.21,53.13,0,3
63,37,2023-02-10,81.76,32.5,0,5
64,38,2024-02-21,176.16,74.03,0,5
65,38,2024-11-02,45.45,22.96,0,4
66,39,2023-12-07,117.05,59.11,0,4
67,39,2024-07-25,124.16,48.0,0,4
68,40,2024-04-26,125.55,64.68,0,2
69,40,2024-11-10,127.66,54.56,0,3
70,41,2023-03-13,93.85,42.04,0,5
71,42,2024-07-03,198.48,95.01,0,2
72,43,2023-02-09,121.05,52.45,0,1
73,44,2024-06-07,202.41,78.44,0,1
74,45,2024-06-16,139.23,70.47,0,5
75,46,2024-01-08,206.13,101.58,0,2
76,46,2024-06-15,186.72,81.31,0,1
77,46,2024-08-03,161.97,66.83,0,1
78,47,2024-01-24,202.99,87.52,0,4
79,48,2023-01-01,182.51,79.35,0,2
80,48,2023-03-26,144.1,76.83,0,5
81,48,2023-08-22,184.95,79.2,0,3
82,48,2023-07-19,113.74,59.05,0,5
83,49,2023-08-29,84.31,32.39,0,4
84,49,2024-03-02,140.19,74.39,0,4
85,49,2024-02-22,198.04,88.18,0,3
86,50,2024-02-14,45.97,23.49,0,2
87,50,2024-05-10,216.9,108.08,0,3
88,50,2024-07-11,162.63,87.16,0,2
89,51,2023-05-05,161.83,77.88,0,2
90,52,2024-03-29,170.87,89.06,0,3
91,53,2023-06-12,128.07,54.05,0,4
92,54,2024-06-17,121.98,51.21,0,2
93,54,2024-08-06,73.18,32.57,0,3
94,54,2024-08-25,54.13,24.32,0,3
95,54,2024-12-02,131.47,54.58,0,4
96,55,2024-03-06,63.17,45.87,1,2
97,56,2024-05-03,106.56,55.95,0,1
98,57,2024-03-05,173.56,92.44,0,3
99,58,2023-10-07,103.82,46.59,0,2
100,58,2024-06-28,255.76,120.41,0,3
101,58,2024-06-25,170.22,83.87,0,4
102,59,2023-03-27,68.75,26.71,0,3
103,59,2023-08-20,114.25,60.5,0,1
104,60,2023-10-12,190.59,75.08,0,4
105,60,2023-11-24,89.33,34.99,0,1
106,60,2024-07-13,205.93,111.5,0,4
107,60,2024-01-01,176.69,74.31,0,4
108,61,2024-04-29,143.69,71.69,0,4
109,62,2023-06-21,213.65,109.44,0,3
110,62,2023-08-17,45.65,19.77,0,5
111,62,2024-01-10,127.26,63.83,0,4
112,63,2023-03-19,190.35,94.89,0,3
113,63,2023-09-18,215.17,102.47,0,3
114,63,2023-04-28,157.2,77.41,0,1
115,63,2023-05-05,182.46,69.73,0,5
116,64,2024-03-06,63.47,30.98,0,4
117,65,2023-06-06,213.96,110.7,0,2
118,66,2024-05-10,148.68,62.7,0,2
119,67,2023-10-13,87.68,42.42,0,5
120,68,2023-01-30,130.32,55.25,0,2
121,68,2023-08-27,162.27,75.91,0,1
122,68,2023-04-18,93.1,41.81,0,2
123,68,2023-07-21,191.93,94.01,0,3
124,69,2024-05-17,96.49,40.66,0,2
125,70,2024-01-13,119.46,52.11,0,2
126,71,2023-10-05,171.22,86.69,0,2
127,72,2023-07-09,174.26,83.68,0,1
128,73,2024-09-03,78.97,32.42,0,2
129,73,2024-11-04,50.01,19.47,0,1
130,73,2024-12-16,180.33,91.6,0,3
131,73,2024-10-29,166.29,76.46,0,2
132,74,2024-03-27,89.18,35.62,0,2
133,74,2024-05-14,178.48,69.45,0,5
134,74,2024-06-03,248.81,98.15,0,5
135,75,2023-09-12,178.78,91.97,0,1
136,75,2024-01-17,239.87,103.28,0,4
137,75,2024-03-10,107.18,52.04,0,4
138,75,2024-03-16,248.47,103.2,0,1
139,76,2023-08-05,86.98,35.37,0,2
140,76,2024-02-03,104.08,43.65,0,4
141,76,2024-03-02,194.66,89.0,0,1
142,76,2024-02-26,243.26,125.02,0,3
143,77,2024-10-02,185.68,74.18,0,3
144,78,2023-09-30,57.5,24.86,0,4
145,79,2024-08-05,121.85,52.6,0,5
146,80,2023-10-06,131.41,50.83,0,3
147,80,2024-04-07,45.69,19.14,0,1
148,80,2024-04-25,169.17,64.88,0,5
149,81,2023-10-03,178.54,83.6,0,3
150,81,2023-12-18,135.89,70.45,0,5
151,81,2024-07-07,143.4,64.45,0,3
152,82,2023-11-25,195.1,97.15,0,4
153,82,2024-07-20,48.07,18.99,0,5
154,82,2024-02-27,65.5,33.49,0,1
155,83,2024-06-10,45.2,20.73,0,4
156,83,2024-10-10,206.42,100.39,0,5
157,84,2023-02-22,141.11,64.13,0,1
